"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Erling Haaland";"Manchester City";31;2581;27;5;31.65;4.75;1.1;0.17
2;"Cole Palmer";"Chelsea,Manchester City";34;2640;22;11;17.83;11.87;0.61;0.4
3;"Alexander Isak";"Newcastle United";30;2305;21;2;22.07;3.65;0.86;0.14
4;"Dominic Solanke";"Bournemouth";38;3346;19;3;21.41;3.54;0.58;0.1
5;"Phil Foden";"Manchester City";35;2895;19;8;11.31;8.52;0.35;0.26
6;"Ollie Watkins";"Aston Villa";37;3250;19;13;19.26;7.75;0.53;0.21
7;"Mohamed Salah";"Liverpool";32;2556;18;10;21.94;12.33;0.77;0.43
8;"Son Heung-Min";"Tottenham";35;2989;17;10;12.98;13.34;0.39;0.4
9;"Jarrod Bowen";"West Ham";34;3026;16;6;13.5;6.44;0.4;0.19
10;"Jean-Philippe Mateta";"Crystal Palace";35;2303;16;5;12.29;3.53;0.48;0.14
11;"Bukayo Saka";"Arsenal";35;2990;16;8;16.81;11.33;0.51;0.34
12;"Chris Wood";"Nottingham Forest";31;1797;14;1;13.36;1.99;0.67;0.1
13;"Nicolas Jackson";"Chelsea";35;2818;14;5;19.86;5.28;0.63;0.17
14;"Kai Havertz";"Arsenal";37;2651;13;7;13.47;5.81;0.46;0.2
15;"Yoane Wissa";"Brentford";34;2556;12;3;11.17;3.83;0.39;0.13
16;"Matheus Cunha";"Wolverhampton Wanderers";32;2499;12;7;10.23;3.92;0.37;0.14
17;"Leandro Trossard";"Arsenal";34;1649;12;1;9.58;3.25;0.52;0.18
18;"Hee-Chan Hwang";"Wolverhampton Wanderers";29;2154;12;3;8.68;3.14;0.36;0.13
19;"Richarlison";"Tottenham";28;1511;11;4;9.62;1.97;0.57;0.12
20;"Anthony Gordon";"Newcastle United";35;2956;11;10;11.29;8.83;0.34;0.27
21;"Eberechi Eze";"Crystal Palace";27;2097;11;4;9.37;6.84;0.4;0.29
22;"Darwin Núñez";"Liverpool";36;2037;11;8;19.19;5.95;0.85;0.26
23;"Julián Álvarez";"Manchester City";36;2682;11;8;14.37;5.82;0.48;0.2
24;"Carlton Morris";"Luton";38;2879;11;4;12.31;3.69;0.38;0.12
25;"Bruno Fernandes";"Manchester United";35;3121;10;8;10.75;13.16;0.31;0.38
26;"Leon Bailey";"Aston Villa";35;2112;10;9;6.47;10.3;0.28;0.44
27;"Diogo Jota";"Liverpool";21;1164;10;3;6.72;3.2;0.52;0.25
28;"Michael Olise";"Crystal Palace";19;1281;10;6;5.69;5.2;0.4;0.37
29;"Rasmus Højlund";"Manchester United";30;2210;10;2;9.34;1.78;0.38;0.07
30;"Elijah Adebayo";"Luton";27;1422;10;0;6.63;0.81;0.42;0.05
31;"Callum Wilson";"Newcastle United";20;963;9;1;10.12;0.93;0.95;0.09
32;"Douglas Luiz";"Aston Villa";35;3043;9;5;7.57;5.29;0.22;0.16
33;"Bryan Mbeumo";"Brentford";25;1954;9;6;9.16;5.14;0.42;0.24
34;"João Pedro";"Brighton";31;2026;9;3;11.92;5.42;0.53;0.24
35;"Rodrigo Muniz";"Fulham";26;1602;9;1;8.48;1.39;0.48;0.08
36;"Raheem Sterling";"Chelsea";31;1987;8;4;8.57;4.97;0.39;0.23
37;"Rodri";"Manchester City";34;2967;8;9;4.29;5.33;0.13;0.16
38;"Martin Odegaard";"Arsenal";35;3117;8;10;7.67;11.58;0.22;0.33
39;"Callum Hudson-Odoi";"Nottingham Forest";29;1844;8;1;3.02;3.09;0.15;0.15
40;"Dejan Kulusevski";"Tottenham";36;2787;8;3;5.84;8.62;0.19;0.28
41;"Luis Díaz";"Liverpool";37;2706;8;5;12.86;6.48;0.43;0.22
42;"Cody Gakpo";"Liverpool";35;1640;8;5;8.77;4.23;0.48;0.23
43;"Antoine Semenyo";"Bournemouth";33;2141;8;2;6.42;3.8;0.27;0.16
