"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Harry Kane";"Tottenham";35;3097;23;14;22.17;7.58;0.64;0.22
2;"Mohamed Salah";"Liverpool";37;3085;22;5;20.25;6.53;0.59;0.19
3;"Bruno Fernandes";"Manchester United";37;3117;18;12;16.02;11.47;0.46;0.33
4;"Son Heung-Min";"Tottenham";37;3139;17;10;11.02;9.51;0.32;0.27
5;"Patrick Bamford";"Leeds";38;3085;17;7;18.4;3.78;0.54;0.11
6;"Dominic Calvert-Lewin";"Everton";33;2878;16;0;18.21;2.1;0.57;0.07
7;"Jamie Vardy";"Leicester";34;2848;15;9;19.94;5.09;0.63;0.16
8;"Ollie Watkins";"Aston Villa";37;3330;14;5;16.28;5.31;0.44;0.14
9;"Ilkay Gündogan";"Manchester City";28;2033;13;2;9.57;3.82;0.42;0.17
10;"Alexandre Lacazette";"Arsenal";31;1939;13;2;12.03;2.21;0.56;0.1
11;"Callum Wilson";"Newcastle United";26;2079;12;5;13.59;3.05;0.59;0.13
12;"Kelechi Iheanacho";"Leicester";25;1452;12;2;9.05;3.53;0.56;0.22
13;"Danny Ings";"Southampton";29;2200;12;4;8.28;2.31;0.34;0.09
14;"Chris Wood";"Burnley";33;2765;12;3;12.95;2.04;0.42;0.07
15;"Wilfried Zaha";"Crystal Palace";30;2615;11;2;8.8;3.7;0.3;0.13
16;"Marcus Rashford";"Manchester United";37;2941;11;9;9.58;4.19;0.29;0.13
17;"Sadio Mané";"Liverpool";35;2805;11;7;14.83;7.79;0.48;0.25
18;"Gareth Bale";"Tottenham";20;909;11;2;5.8;1.84;0.57;0.18
19;"Matheus Pereira";"West Bromwich Albion";33;2594;11;6;6.95;6.36;0.24;0.22
20;"Pierre-Emerick Aubameyang";"Arsenal";29;2333;10;3;10.45;2.43;0.4;0.09
21;"Michail Antonio";"West Ham";26;1993;10;5;14.14;3.19;0.64;0.14
22;"Christian Benteke";"Crystal Palace";30;1824;10;1;7.46;0.7;0.37;0.03
23;"Raheem Sterling";"Manchester City";31;2539;10;7;12.05;6.63;0.43;0.23
24;"Edinson Cavani";"Manchester United";26;1355;10;3;8.6;2.32;0.57;0.15
